,관서명,살인 발생,살인 검거,강도 발생,강도 검거,강간 발생,강간 검거,절도 발생,절도 검거,폭력 발생,폭력 검거,lat,lng,구별
0,중부서,2,2,3,2,105,65,1395,477,1355,1170,37.5636465,126.9895796,중구
1,종로서,3,3,6,5,115,98,1070,413,1278,1070,37.575548,126.9847471,종로구
2,남대문서,1,0,6,4,65,46,1153,382,869,794,37.5547584,126.9734981,중구
3,서대문서,2,2,5,4,154,124,1812,738,2056,1711,37.5647439,126.9667705,서대문구
4,혜화서,3,2,5,4,96,63,1114,424,1015,861,37.5718529,126.9989143,종로구
5,용산서,5,5,14,14,194,173,1557,587,2050,1704,37.5387099,126.9659183,용산구
6,성북서,2,2,2,1,86,71,953,409,1194,1015,37.58977830000001,127.016589,성북구
7,동대문서,5,5,13,13,173,146,1981,814,2548,2227,37.58506149999999,127.0457679,동대문구
8,마포서,8,8,14,10,294,247,2555,813,2983,2519,37.550814,126.954028,마포구
9,영등포서,14,12,22,20,295,183,2964,978,3572,2961,37.5153176,126.905728,영등포구
10,성동서,4,4,9,8,126,119,1607,597,1612,1395,37.5617303,127.0364217,성동구
11,동작서,5,5,9,5,285,139,1865,661,1910,1587,37.5130866,126.9428498,동작구
12,광진서,4,4,14,26,240,220,3026,1277,2625,2180,37.542873,127.083821,광진구
13,서부서,2,2,2,1,70,59,819,293,1192,1038,37.6020914,126.9213528,은평구
14,강북서,7,8,14,13,153,126,1434,618,2649,2348,37.63730390000001,127.0273399,강북구
15,금천서,3,4,6,6,151,122,1567,888,2054,1776,37.4568722,126.8970429,금천구
16,중랑서,13,12,11,9,187,148,2135,829,2847,2407,37.6186095,127.1045734,중랑구
17,강남서,3,3,15,12,300,225,2411,984,2465,2146,37.5094352,127.0669578,강남구
18,관악서,9,8,12,14,320,221,2706,827,3298,2642,37.4743945,126.9513489,관악구
19,강서서,7,8,13,13,262,191,2096,1260,3207,2718,37.5397827,126.8299968,강서구
20,강동서,4,3,6,8,156,123,2366,789,2712,2248,37.528511,127.1268224,강동구
21,종암서,3,3,3,3,64,53,832,332,1015,840,37.6020592,127.0321577,성북구
22,구로서,8,6,15,11,281,164,2335,889,3007,2432,37.494931,126.886731,구로구
23,서초서,7,4,8,5,334,193,1982,905,1852,1607,37.4956054,127.0052504,서초구
24,양천서,3,5,6,3,120,105,1890,672,2509,2030,37.5167711,126.8656996,양천구
25,송파서,11,10,13,10,220,178,3239,1129,3295,2786,37.5016941,127.1272481,송파구
26,노원서,10,10,7,7,197,121,2193,801,2723,2329,37.6425238,127.0717076,노원구
27,방배서,1,2,1,1,59,56,653,186,547,491,37.4945959,126.9831279,서초구
28,은평서,1,1,7,5,96,82,1095,418,1461,1268,37.6280204,126.9287899,은평구
29,도봉서,3,3,9,10,102,106,1063,478,1487,1303,37.6533589,127.052682,도봉구
30,수서서,10,7,6,6,149,124,1439,666,1819,1559,37.49349,127.0772119,강남구
